代码,名称,涨幅%,流通市值Z,10日涨幅%,20日涨幅%,细分行业,开盘%,现价,涨跌,封单额,总金额,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘
605136,丽人丽妆,10.04,         15.34亿,0.33,-6.78,电商服务,10.04,9.21,0.84,13845.21,356.61,9.21,--  ,3872,3872,0,0.1,9.21,9.21,9.21,8.37,--  ,16.5,上海,0,9.21,1936
000037,深南电A,10.04,         24.79亿,34.23,43.4,火力发电,10.04,12.39,1.13,18509.42,3084.74,12.39,--  ,24897,24897,0,0.73,12.39,12.39,12.39,11.26,--  ,14.16,深圳,0,12.39,12449
603666,亿嘉和,10.02,         26.38亿,-5.25,-21.23,机器人,10.02,23.83,2.17,10022.66,306.22,23.83,--  ,1285,1285,0,0.06,23.83,23.83,23.83,21.66,--  ,12.86,江苏,0,23.83,643
430198,微创光电,9.89,          6.39亿,21.33,6.29,安防设备,9.89,12,1.08,--  ,774.33,11.99,12,6453,6453,0,0.92,12,12,12,10.92,--  ,10.31,湖北,0,12,3227
600551,时代出版,8.43,         16.61亿,3.58,-9.7,大众出版,8.43,10.42,0.81,--  ,314.48,10.42,10.43,3018,3018,0,0.06,10.42,10.42,10.42,9.61,14.43,14.36,安徽,0,10.42,1509
002552,宝鼎科技,8.37,         17.53亿,1.32,-2.74,PCB,8.37,13.85,1.07,--  ,157.89,12.9,13.85,1140,1140,0,0.04,13.85,13.85,13.85,12.78,62.91,20.03,浙江,0,13.85,570
605001,威奥股份,7.77,         11.34亿,-4.99,-9.9,轨交设备,7.77,6.1,0.44,--  ,179.65,6.1,6.12,2945,2945,0,0.07,6.1,6.1,6.1,5.66,--  ,16.4,山东,0,6.1,1473
301567,贝隆精密,6.9,          7.47亿,-36.54,93.38,消费电子组件,6.9,41.5,2.68,--  ,440.73,41.5,41.55,1062,1062,0,0.59,41.5,41.5,41.5,38.82,52.53,3.54,浙江,0,41.5,531
603897,长城科技,6.24,         14.64亿,-11.21,-17.85,线缆部件及其他,6.24,17.02,1,--  ,253.09,17.02,17.05,1487,1487,0,0.07,17.02,17.02,17.02,16.02,24.14,9.32,浙江,0,17.02,744
836961,西磁科技,6.17,          3.38亿,-13.69,-23.5,其他专用设备,6.17,21,1.22,--  ,36.02,21,21.15,172,172,0,0.11,21,21,21,19.78,28.59,1.8,浙江,0,21,86
002663,普邦股份,6.1,         19.87亿,-10.31,-5.44,园林工程,6.1,1.74,0.1,--  ,138.92,1.73,1.74,7984,7984,0,0.05,1.74,1.74,1.74,1.64,--  ,4.92,广东,0,1.74,3992
301032,新柴股份,6.09,          7.04亿,-9.07,-14.87,内燃机,6.09,8.53,0.49,--  ,69.78,8.3,8.53,818,818,0,0.1,8.53,8.53,8.53,8.04,337.88,5.53,浙江,0,8.53,409
834407,驰诚股份,6.07,          1.62亿,2.77,-24.57,仪器仪表,6.07,11.88,0.68,--  ,38.9,11.11,11.88,327,327,0,0.23,11.88,11.88,11.88,11.2,64.19,4.43,河南,0,11.88,164
688246,嘉和美康,6.03,         18.07亿,-12.83,-25.9,行业应用软件,6.03,24.6,1.4,--  ,16.52,23.07,24.6,67,67,0,0.01,24.6,24.6,24.6,23.2,141.76,1.3,北京,0,24.6,34
000899,赣能股份,5.96,         23.63亿,11.49,5.7,火力发电,5.96,8.35,0.47,--  ,2834.66,8.34,8.35,33948,33948,0,0.35,8.35,8.35,8.35,7.88,14.98,82.73,江西,0,8.35,16974
002481,双塔食品,5.91,         29.36亿,-0.46,-2.71,其他农产品加工,5.91,4.3,0.24,--  ,228.07,4.26,4.3,5304,5304,0,0.05,4.3,4.3,4.3,4.06,--  ,9.8,山东,0,4.3,2652
300478,杭州高新,5.89,          8.91亿,-9.39,-16.86,改性塑料,5.89,11.68,0.65,--  ,133.97,11.66,11.68,1147,1147,0,0.09,11.68,11.68,11.68,11.03,26.44,8.62,浙江,0,11.68,574
688155,先惠技术,5.75,         13.43亿,5.37,-2.07,其他专用设备,5.75,53,2.88,--  ,12.4,53,53.83,23,23,0,0,53,53,53,50.12,118.23,0.5,上海,0,53,12
600088,中视传媒,5.73,         43.38亿,92.25,62.91,影视制作,5.73,25.3,1.37,--  ,10215.13,25.29,25.3,40376,40376,0,1.02,25.3,25.3,25.3,23.93,24.49,42.45,上海,0,25.3,20188
600597,光明乳业,5.54,         58.46亿,3.91,0.23,乳制品,5.54,8.77,0.46,--  ,949.53,8.77,8.78,10827,10827,0,0.08,8.77,8.77,8.77,8.31,28.1,25.7,上海,0,8.77,5414
600737,中粮糖业,5.5,         90.94亿,5.89,1.89,制糖业,5.5,8.63,0.45,--  ,1344.64,8.63,8.64,15581,15581,0,0.07,8.63,8.63,8.63,8.18,9.61,16.65,新疆,0,8.63,7791
300262,巴安水务,5.43,         11.78亿,-8.11,-18.81,水务,5.43,2.72,0.14,--  ,98.93,2.72,2.73,3637,3637,0,0.05,2.72,2.72,2.72,2.58,--  ,3.31,上海,0,2.72,1819
688257,新锐股份,5.26,         21.23亿,-7.49,-11.65,金属制品,5.26,22.22,1.11,--  ,14.14,22.17,22.22,64,64,0,0.01,22.22,22.22,22.22,21.11,17.01,2.13,江苏,0,22.22,32
000548,湖南投资,5.11,         18.08亿,-0.56,-5.64,高速公路,5.11,5.35,0.26,--  ,182.81,5.34,5.35,3417,3417,0,0.07,5.35,5.35,5.35,5.09,29.48,4.31,湖南,0,5.35,1709
300513,恒实科技,5.1,         24.77亿,-7.47,-19.93,行业应用软件,5.1,9.28,0.45,--  ,101.8,9.1,9.28,1097,1097,0,0.04,9.28,9.28,9.28,8.83,63.24,4.95,北京,0,9.28,549
002586,*ST围海,5.06,         20.75亿,-4.32,-14.66,基建工程,5.06,3.32,0.16,--  ,514.83,3.31,3.32,15507,15507,0,0.17,3.32,3.32,3.32,3.16,--  ,69.36,浙江,0,3.32,7754
300817,双飞集团,5.03,          8.45亿,-10.69,-18.51,机械基础件,5.03,13.78,0.66,--  ,7.03,13.78,13.86,51,51,0,0.01,13.78,13.78,13.78,13.12,38.56,0.55,浙江,0,13.78,26
300946,恒而达,5.01,          9.08亿,-10.35,-15.63,金属制品,5.01,26.6,1.27,--  ,11.44,26.6,27,43,43,0,0.01,26.6,26.6,26.6,25.33,33.19,1.49,福建,0,26.6,22
301309,万得凯,5.01,          6.34亿,-8.41,-8.95,金属制品,5.01,25.36,1.21,--  ,15.72,25.36,25.45,62,62,0,0.02,25.36,25.36,25.36,24.15,25.87,3.87,浙江,0,25.36,31
