,代码,名称,fluc_today,流通市值Z,fluc_10day,fluc_20day,细分行业
1,603960,克来机电,-9.94,54.11,73.78,177.63,汽车电子电气系统
2,002611,东方精工,8.17,56.4,80.56,45.92,印刷包装机械
6,600640,国脉文化,-9.99,40.83,101.44,71.54,视频音频媒体
18,002423,中粮资本,-3.61,60.78,14.3,22.32,金融控股
25,002229,鸿博股份,-4.36,91.1,45.14,8.67,印刷
36,000676,智度股份,8.03,72.34,22.64,1.35,互联网广告
45,688439,振华风光,5.11,44.69,9.19,1.88,军工电子
52,300757,罗博特科,4.49,41.97,66.74,18.1,工业控制设备
62,688082,盛美上海,3.96,68.66,5.2,0.22,半导体设备
64,002130,沃尔核材,3.67,65.15,12.26,0.78,其他电子
71,002221,东华能源,3.2,96.51,-0.99,0.81,其他石化
73,002085,万丰奥威,3.07,74.33,17.92,19.4,轮胎轮毂
75,300260,新莱应材,2.96,41.02,24.81,3.31,其他包装
76,603322,超讯通信,2.88,42.93,48.71,20.23,网络优化运维
78,301015,百洋医药,2.87,37.63,10.89,6.65,医药流通
79,001286,陕西能源,2.83,65.32,3.44,7.0,火力发电
83,600571,信雅达,2.58,52.95,89.94,29.06,行业应用软件
84,002537,海联金汇,2.57,42.36,14.57,-1.42,车身附件及饰件
86,000598,兴蓉环境,2.55,75.66,-2.58,6.15,水务
99,300842,帝科股份,2.25,50.91,15.17,4.24,光伏辅材
102,600338,西藏珠峰,2.16,78.46,25.55,6.47,铅锌
125,300766,每日互动,1.65,37.44,39.95,-4.34,行业应用软件
126,000801,四川九洲,1.63,45.22,9.29,5.44,其他黑色家电
