,代码,名称,fluc_today,流通市值Z,fluc_10day,fluc_20day,细分行业
13,600053,九鼎投资,-4.21,19.83,31.51,-9.62,投资管理
14,600860,京城股份,3.16,21.44,52.6,4.25,金属制品
15,001225,和泰机电,-4.9,6.47,28.08,14.03,其他专用设备
16,600127,金健米业,-0.14,34.83,22.77,9.18,粮油加工
17,002975,博杰股份,-0.4,16.59,64.96,19.36,工业控制设备
20,002481,双塔食品,0.0,31.41,32.56,11.65,其他农产品加工
22,002713,东易日盛,0.0,11.91,24.71,16.93,装修装饰
26,605151,西上海,-5.48,7.03,41.85,2.55,车身附件及饰件
28,603895,天永智能,-9.99,7.31,62.69,-14.94,其他专用设备
29,000635,英 力 特,-2.0,11.61,51.74,-13.34,氯碱
31,002177,御银股份,10.09,24.39,36.91,-4.5,商业物业经营
39,002377,国创高新,6.7,12.61,30.82,-18.72,其他建材
40,000561,烽火电子,6.67,23.36,30.91,2.71,军工电子
41,300278,华昌达,5.66,26.56,34.4,1.51,工业控制设备
42,688079,美迪凯,5.54,11.22,30.5,-11.21,光学元件
43,688155,先惠技术,5.39,14.95,15.34,28.96,其他专用设备
44,600653,申华控股,5.13,24.6,13.11,-2.96,汽车经销商
46,605218,伟时电子,4.94,10.86,36.31,-2.33,LED
47,603798,康普顿,4.92,11.85,57.22,-10.37,其他石化
48,301305,朗坤环境,4.9,8.86,16.66,-4.28,固废治理
49,003011,海象新材,4.79,8.76,37.65,-16.22,家具
50,002211,宏达新材,4.64,7.91,35.02,-21.65,有机硅
51,300927,江天化学,4.63,5.19,40.78,-14.92,有机化工原料
53,002325,洪涛股份,4.46,22.36,13.11,-6.29,装修装饰
54,300453,三鑫医疗,4.41,19.51,21.26,-7.09,医疗耗材
55,600191,华资实业,4.33,12.27,50.54,-10.93,制糖业
57,300468,四方精创,4.19,33.02,27.94,-3.01,行业应用软件
65,688379,华光新材,3.57,6.29,24.79,-10.41,金属制品
69,300419,浩丰科技,3.36,14.44,56.08,-8.15,行业应用软件
70,300191,潜能恒信,3.29,19.34,31.55,-12.0,油田服务
77,300941,创识科技,2.87,16.37,36.69,-17.11,其他IT设备
80,002014,永新股份,2.78,20.48,14.05,8.56,塑料包装
81,603177,德创环保,2.69,7.12,24.67,-15.76,大气治理
85,003040,楚天龙,2.55,24.7,21.1,-11.18,通信终端及配件
87,688502,茂莱光学,2.54,15.45,26.05,-5.72,光学元件
88,002687,乔治白,2.54,14.25,23.1,-3.39,非运动服装
89,688130,晶华微,2.53,5.17,22.85,-3.45,集成电路设计
90,603273,天元智能,2.47,11.55,51.2,6.79,其他专用设备
91,301125,腾亚精工,2.46,4.86,46.32,-21.68,机械基础件
92,605198,安德利,2.43,4.04,21.39,-5.03,软饮料
93,003029,吉大正元,2.39,14.89,32.88,-10.81,基础软件
95,300731,科创新源,2.35,11.28,38.27,-13.32,橡胶制品
96,688283,坤恒顺维,2.33,15.04,4.41,-7.48,仪器仪表
97,603123,翠微股份,2.32,27.19,23.23,-4.34,其他金融服务
101,688426,康为世纪,2.17,7.67,32.95,-10.72,诊断试剂
103,300061,旗天科技,2.14,18.6,27.98,-14.85,其他广告营销
104,688582,芯动联科,2.14,14.19,23.86,-3.05,仪器仪表
106,688206,概伦电子,2.13,23.43,16.18,-5.56,集成电路设计
107,002641,公元股份,2.12,22.15,16.75,-8.91,管材
108,002536,飞龙股份,2.12,32.5,17.98,0.96,底盘与发动机系统
109,430685,新芝生物,2.11,4.26,5.94,-9.76,仪器仪表
112,605196,华通线缆,2.01,28.12,33.59,11.5,线缆部件及其他
113,000532,华金资本,1.99,22.26,36.06,-19.35,投资管理
114,300786,国林科技,1.96,14.92,44.92,-24.12,环保设备
115,301079,邵阳液压,1.95,6.42,34.97,-23.77,工程机械零件
116,300559,佳发教育,1.95,23.22,35.28,-6.25,行业应用软件
118,603153,上海建科,1.81,10.5,25.34,-4.16,工程咨询服务
121,300441,鲍斯股份,1.72,19.59,28.76,-6.63,制冷空调设备
127,300540,蜀道装备,1.62,17.41,24.63,-0.1,其他专用设备
128,688480,赛恩斯,1.61,14.62,16.21,-3.8,水治理
129,688183,生益电子,1.57,18.24,23.8,-8.6,PCB
130,688528,秦川物联,1.57,3.93,39.41,-22.04,仪器仪表
145,300239,东宝生物,-6.82,22.83,45.83,5.07,其他生物制药
152,600475,华光环能,-1.18,28.33,23.0,6.46,其他发电设备
157,603231,索宝蛋白,-0.1,9.76,32.14,1.86,粮油加工
159,603661,恒林股份,-2.12,19.01,14.34,-3.82,家具
