CALCTIME,RANK,SRCSECURITYCODE
2024-01-30 14:50:00,1,SH600088
2024-01-30 14:50:00,2,SH603259
2024-01-30 14:50:00,3,SZ002116
2024-01-30 14:50:00,4,SZ000037
2024-01-30 14:50:00,5,SH600119
2024-01-30 14:50:00,6,SH600864
2024-01-30 14:50:00,7,SH600629
2024-01-30 14:50:00,8,SH600679
2024-01-30 14:50:00,9,SH601857
2024-01-30 14:50:00,10,SH600675
2024-01-30 14:50:00,11,SZ000017
2024-01-30 14:50:00,12,SZ002173
2024-01-30 14:50:00,13,SZ000068
2024-01-30 14:50:00,14,SZ002423
2024-01-30 14:50:00,15,SH603082
2024-01-30 14:50:00,16,SH600639
2024-01-30 14:50:00,17,SZ002230
2024-01-30 14:50:00,18,SH603648
2024-01-30 14:50:00,19,SZ002703
2024-01-30 14:50:00,20,SH600150
2024-01-30 14:50:00,21,SZ301293
2024-01-30 14:50:00,22,SH600630
2024-01-30 14:50:00,23,SZ000070
2024-01-30 14:50:00,24,SZ000617
2024-01-30 14:50:00,25,SZ000899
2024-01-30 14:50:00,26,SH600284
2024-01-30 14:50:00,27,SH601136
2024-01-30 14:50:00,28,SZ300750
2024-01-30 14:50:00,29,SH601012
2024-01-30 14:50:00,30,SZ002594
2024-01-30 14:50:00,31,SZ002129
2024-01-30 14:50:00,32,SH603721
2024-01-30 14:50:00,33,SZ000151
2024-01-30 14:50:00,34,SH600354
2024-01-30 14:50:00,35,SH601800
2024-01-30 14:50:00,36,SH600519
2024-01-30 14:50:00,37,SH603767
2024-01-30 14:50:00,38,SZ300374
2024-01-30 14:50:00,39,SH605011
2024-01-30 14:50:00,40,SH603083
