代码,名称,涨幅%,流通市值Z,10日涨幅%,20日涨幅%,细分行业,开盘%,现价,涨跌,封单额,总金额,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘
301577,C美信,28.41,          8.88亿,119.12,119.12,其他电子,28.41,80,17.7,--  ,4513.5,80,80.99,5642,5642,0,5.09,80,80,80,62.3,65.62,19.4,广东,0,80,2821
688648,中邮科技,19.99,          9.51亿,32.5,25.6,其他专用设备,19.99,33.07,5.51,--  ,5217.46,33.06,33.07,15777,15777,0,5.49,33.07,33.07,33.07,27.56,162.46,48.42,上海,0,33.07,7889
688617,惠泰医疗,16.77,        190.16亿,15.03,8.36,医疗耗材,16.77,421,60.47,--  ,1187.64,402,421,282,282,0,0.06,421,421,421,360.53,52.35,16.15,深圳,0,421,141
603375,C盛景微,13.38,         12.03亿,59.77,59.77,集成电路设计,13.38,61,7.2,--  ,4120.26,61,61.18,6755,6755,0,3.42,61,61,61,53.8,38.49,14.05,江苏,0,61,3378
002419,天虹股份,10.1,         28.24亿,3.4,4.52,百货,10.1,5.78,0.53,12.54,1416.1,5.78,--  ,24500,24500,0,0.21,5.78,5.78,5.78,5.25,22.56,19.88,深圳,0,5.78,12250
600629,华建集团,10.06,         32.41亿,45.27,39.92,工程咨询服务,10.06,7.22,0.66,21539.35,4109.54,7.22,--  ,56919,56919,0,0.6,7.22,7.22,7.22,6.56,19.9,27.43,上海,0,7.22,28460
600119,长江投资,10.06,         19.49亿,45.28,43.17,跨境物流,10.06,9.85,0.9,328903.04,553.27,9.85,--  ,5617,5617,0,0.15,9.85,9.85,9.85,8.95,--  ,47.64,上海,0,9.85,2809
300353,东土科技,10.05,         36.14亿,3.43,-9.51,其他通信设备,10.05,8.76,0.8,--  ,910.16,8.73,8.76,10390,10390,0,0.24,8.76,8.76,8.76,7.96,--  ,27,北京,0,8.76,5195
603779,威龙股份,10.04,         20.05亿,14.65,-5.02,葡萄酒,10.04,10.41,0.95,--  ,3941.12,10.4,10.41,37859,37859,0,1.14,10.41,10.41,10.41,9.46,--  ,76.5,山东,0,10.41,18930
600679,上海凤凰,10.04,         17.60亿,44.67,32.5,其他交通设备,10.04,13.7,1.25,25368.56,1611.39,13.7,--  ,11762,11762,0,0.38,13.7,13.7,13.7,12.45,160.59,40.68,上海,0,13.7,5881
600822,上海物贸,10.03,         21.60亿,42.51,35.34,汽车经销商,10.03,13.71,1.25,33487.64,4788.63,13.71,--  ,34928,34928,0,0.88,13.71,13.71,13.71,12.46,39.61,207.67,上海,0,13.71,17464
000014,沙河股份,10.03,         23.30亿,26.75,32.52,住宅开发,10.03,14.59,1.33,--  ,8216.36,14.58,14.59,56315,56315,0,2.33,14.59,14.59,14.59,13.26,5.35,78.98,深圳,0,14.59,28158
301509,金凯生科,10.02,         11.56亿,-7.16,-10.23,医疗研发外包,10.02,56.68,5.16,--  ,615.54,56.67,56.68,1086,1086,0,0.53,56.68,56.68,56.68,51.52,25.01,18.42,辽宁,0,56.68,543
600088,中视传媒,10.02,         37.29亿,56.13,69.39,影视制作,10.02,21.75,1.98,283507.99,671.9,21.75,--  ,3089,3089,0,0.08,21.75,21.75,21.75,19.77,21.05,3.8,上海,0,21.75,1545
600639,浦东金桥,10.01,         43.92亿,47.86,46.68,产业地产,10.01,14.83,1.35,99921.87,2972.6,14.83,--  ,20045,20045,0,0.24,14.83,14.83,14.83,13.48,7.7,24.95,上海,0,14.83,10023
001379,腾达科技,10.01,         12.60亿,51.47,51.47,金属制品,10.01,25.72,2.34,105042.28,1654.82,25.72,--  ,6434,6434,0,1.31,25.72,25.72,25.72,23.38,51.65,5.8,山东,0,25.72,3217
603107,上海汽配,9.99,         19.84亿,9.14,3.18,车身附件及饰件,9.99,24,2.18,31266,2716.72,24,--  ,11320,11320,0,1.37,24,24,24,21.82,48.37,25.31,上海,0,24,5660
001239,永达股份,9.99,         11.16亿,2.41,-2.01,工程机械零件,9.99,23.35,2.12,26723.37,3207.12,23.35,--  ,13735,13735,0,2.87,23.35,23.35,23.35,21.23,68.11,21.77,湖南,0,23.35,6868
002116,中国海诚,9.98,         25.81亿,26.25,25.27,其他专业工程,9.98,12.89,1.17,58163.94,1451.16,12.89,--  ,11258,11258,0,0.27,12.89,12.89,12.89,11.72,22.83,33.85,上海,0,12.89,5629
603648,畅联股份,9.98,         25.02亿,41.8,40.07,供应链服务,9.98,13.67,1.24,28269.56,445.92,13.67,--  ,3262,3262,0,0.09,13.67,13.67,13.67,12.43,30.91,11.25,上海,0,13.67,1631
600684,珠江股份,9.94,         23.40亿,14.03,14.69,住宅开发,9.94,3.98,0.36,34337.69,726.31,3.98,--  ,18249,18249,0,0.21,3.98,3.98,3.98,3.62,--  ,22.53,广东,0,3.98,9125
301516,中远通,9.54,         14.84亿,18,13.1,其他发电设备,9.54,23.99,2.09,--  ,3223.45,23.99,24,13437,13437,0,2.17,23.99,23.99,23.99,21.9,83.11,16.58,深圳,0,23.99,6719
688606,奥泰生物,9.46,         21.52亿,0.7,-5.25,诊断试剂,9.46,65,5.62,--  ,61.69,59.5,65,95,95,0,0.03,65,65,65,59.38,38.05,5.09,浙江,0,65,48
603270,金帝股份,9.32,         12.94亿,-0.11,-14.04,金属制品,9.32,26.39,2.25,--  ,1003.35,26.14,26.39,3802,3802,0,0.78,26.39,26.39,26.39,24.14,34.8,27.3,山东,0,26.39,1901
002596,海南瑞泽,9.22,         22.60亿,12.41,9.22,水泥制品,9.22,3.08,0.26,--  ,1755.57,3.07,3.08,56999,56999,0,0.54,3.08,3.08,3.08,2.82,--  ,64.13,海南,0,3.08,28500
600053,九鼎投资,8.08,         28.69亿,83.96,76.92,投资管理,8.08,25,1.87,--  ,3883,24.95,25,15532,15532,0,0.36,25,25,25,23.13,436.94,14.77,江西,0,25,7766
600708,光明地产,7.84,         29.76亿,28.51,27.9,住宅开发,7.84,2.75,0.2,--  ,10019.49,2.74,2.75,364345,364345,0,1.64,2.75,2.75,2.75,2.55,358.25,147.61,上海,0,2.75,182173
600622,光大嘉宝,7.44,         26.76亿,28.19,28.68,住宅开发,7.44,3.32,0.23,--  ,2957.12,3.31,3.32,89070,89070,0,0.59,3.32,3.32,3.32,3.09,--  ,39.53,上海,0,3.32,44535
600830,香溢融通,6.42,         32.00亿,48.56,44.18,租赁,6.42,10.28,0.62,--  ,5950.27,10.28,10.29,57882,57882,0,1.27,10.28,10.28,10.28,9.66,148.1,29.15,浙江,0,10.28,28941
600753,庚星股份,6.31,         12.49亿,-5.98,-7.87,贸易,6.31,9.6,0.57,--  ,167.23,9.04,9.6,1742,1742,0,0.08,9.6,9.6,9.6,9.03,--  ,11.2,福建,0,9.6,871
301578,辰奕智能,6.2,          6.70亿,-15.14,-23.71,其他电子,6.2,58.89,3.44,--  ,379.25,58.89,58.95,644,644,0,0.57,58.89,58.89,58.89,55.45,32.74,8.82,广东,0,58.89,322
301393,昊帆生物,6.03,         12.91亿,-6.17,-13.03,有机化工原料,6.03,52.19,2.97,--  ,172.75,52.19,52.99,331,331,0,0.13,52.19,52.19,52.19,49.22,53.58,7.28,江苏,0,52.19,166
002850,科达利,5.96,         92.67亿,-8.32,-14.75,锂电池,5.96,72,4.05,--  ,676.98,72,72.03,940,940,0,0.06,72,72,72,67.95,18.32,9.03,深圳,0,72,470
301566,达利凯普,5.94,          9.87亿,-12.35,-25.56,被动元件,5.94,21.58,1.21,--  ,595.18,21.57,21.58,2758,2758,0,0.6,21.58,21.58,21.58,20.37,65.29,10.46,辽宁,0,21.58,1379
601083,锦江航运,5.93,         24.21亿,6.89,2.96,航运,5.93,12.86,0.72,--  ,4382.82,12.86,12.87,34081,34081,0,1.81,12.86,12.86,12.86,12.14,17.88,24.8,上海,0,12.86,17041
001326,联域股份,5.62,          8.43亿,-11.09,-14.75,LED,5.62,47,2.5,--  ,174.37,46.63,47,371,371,0,0.21,47,47,47,44.5,19.32,7.81,深圳,0,47,186
301517,陕西华达,5.56,         10.39亿,-5.15,-12.34,军工电子,5.56,49,2.58,--  ,177.38,49,49.01,362,362,0,0.17,49,49,49,46.42,64.25,5.84,陕西,0,49,181
600657,信达地产,5.53,         32.25亿,19.32,16.99,住宅开发,5.53,4.2,0.22,--  ,2953.69,4.19,4.2,70326,70326,0,0.25,4.2,4.2,4.2,3.98,34.74,38.24,北京,0,4.2,35163
000573,粤宏远Ａ,5.49,         18.45亿,4.58,7.99,其他电池,5.49,3.65,0.19,--  ,439.5,3.63,3.65,12041,12041,0,0.19,3.65,3.65,3.65,3.46,--  ,13.25,广东,0,3.65,6021
301567,贝隆精密,5.43,          8.14亿,110.67,110.67,消费电子组件,5.43,45.21,2.33,--  ,792.98,45.08,45.21,1754,1754,0,0.97,45.21,45.21,45.21,42.88,57.22,5.85,浙江,0,45.21,877
836892,广咨国际,5.34,          4.82亿,34.49,0.43,工程咨询服务,5.34,14,0.71,--  ,157.31,14,14.05,1124,1124,0,0.1,14,14,14,13.29,28.07,10.1,广东,0,14,562
688653,康希通信,5.3,          8.47亿,-3.53,-16.68,集成电路设计,5.3,16.68,0.84,--  ,100.94,16.5,16.68,605,605,0,0.12,16.68,16.68,16.68,15.84,3967.31,4.76,上海,0,16.68,303
301469,恒达新材,5.3,          6.40亿,-5.81,-8.85,特种纸,5.3,30.8,1.55,--  ,71.76,30.34,30.8,233,233,0,0.11,30.8,30.8,30.8,29.25,29.45,6.81,浙江,0,30.8,117
002043,兔 宝 宝,5.21,         44.00亿,6.45,11.74,其他建材,5.21,9.9,0.49,--  ,876.35,9.85,9.9,8852,8852,0,0.12,9.9,9.9,9.9,9.41,13.63,14.42,浙江,0,9.9,4426
601198,东兴证券,5.07,        151.12亿,9.11,3.28,证券,5.07,8.5,0.41,--  ,2678.26,8.5,8.51,31509,31509,0,0.1,8.5,8.5,8.5,8.09,43.87,23.94,北京,0,8.5,15755
300255,常山药业,5.06,         56.03亿,-6.17,-16.98,其他生物制药,5.06,10.8,0.52,--  ,910.44,10.8,10.81,8430,8430,0,0.09,10.8,10.8,10.8,10.28,--  ,6.11,河北,0,10.8,4215
