代码,名称,涨幅%,流通市值Z,10日涨幅%,20日涨幅%,细分行业,开盘%,现价,涨跌,封单额,总金额,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘
000007,*ST全新,4.93,         10.28亿,-4.08,-8.21,商业物业经营,4.93,4.47,0.21,1020.55,80.75,4.47,--  ,1807,1,0,0.06,4.47,4.47,4.47,4.26,107.08,0.09,深圳,0,4.47,1618
000014,沙河股份,10.04,         21.18亿,16.83,20.88,住宅开发,-0.17,13.26,1.21,5321.11,35287.8,13.26,--  ,273003,710,0,11.28,12.03,13.26,11.99,12.05,4.86,1.85,深圳,10.54,12.93,135767
000020,深华发Ａ,9.98,         12.89亿,66.77,69.49,面板,5.12,20.83,1.89,3017.43,84945.06,20.83,--  ,439195,364,0,24.24,19.91,20.83,17.06,18.94,355.48,1.81,深圳,19.9,19.34,250011
000068,华控赛格,9.98,         31.04亿,52.21,56.53,水务,9.38,5.51,0.5,5716.85,93364.51,5.51,--  ,1767218,3060,0,17.56,5.48,5.51,4.68,5.01,10.87,1.88,深圳,16.57,5.28,1109876
000070,特发信息,9.96,         64.09亿,56.62,47.46,光纤光缆,9.96,11.59,1.05,39467.2,10997.19,11.59,--  ,94885,861,0,1.07,11.59,11.59,11.59,10.54,--  ,0.18,深圳,0,11.59,81774
000151,中成股份,10.03,         20.58亿,19.02,14.55,贸易,10.03,12.83,1.17,15995.55,5659.36,12.83,--  ,44110,175,0,1.65,12.83,12.83,12.83,11.66,--  ,0.47,北京,0,12.83,36474
000416,*ST民控,5.18,          8.36亿,-2.87,7.98,非货币银行,-0.52,2.03,0.1,352.23,1619.91,2.03,--  ,81710,1339,0,1.54,1.92,2.03,1.9,1.93,141.51,1.37,山东,6.74,1.98,31585
000505,京粮控股,10.06,         20.33亿,4.71,3.8,粮油加工,0,7.11,0.65,3229.29,22578.87,7.11,--  ,321320,389,0,5.09,6.46,7.11,6.43,6.46,49.27,8.67,海南,10.53,7.03,217685
000592,平潭发展,10.18,         47.96亿,15.65,22.18,林业,-1.45,3.03,0.28,5136.15,92236.33,3.03,--  ,3172190,5976,0,16.57,2.71,3.03,2.68,2.75,216.88,1.77,福建,12.73,2.91,1353149
000608,阳光股份,9.97,         16.80亿,3.56,11.11,商业地产,0.69,3.2,0.29,3120.86,9095.02,3.2,--  ,292611,163,0,3.9,2.93,3.2,2.93,2.91,--  ,2.12,广西,9.28,3.11,168568
000688,国城矿业,10.04,         28.16亿,-0.49,0.3,铅锌,0,10.19,0.93,2624.33,9762.81,10.19,--  ,99744,463,0,0.89,9.26,10.19,9.26,9.26,--  ,2.03,四川,10.04,9.79,47304
000720,新能泰山,10.03,         28.29亿,3.54,5.28,线缆部件及其他,1.5,4.39,0.4,1176.34,17027.16,4.39,--  ,393977,185,0,3.14,4.05,4.39,4.05,3.99,--  ,5.96,山东,8.52,4.32,240139
000736,中交地产,9.99,         31.83亿,15.22,12.02,住宅开发,9.79,10.9,0.99,5420.13,27018.38,10.9,--  ,251345,846,0,3.61,10.88,10.9,10.3,9.91,--  ,1.47,重庆,6.05,10.75,130081
000793,华闻集团,9.91,         36.98亿,8.88,7.37,其他出版,0,2.33,0.21,206.2,53220.45,2.33,--  ,2324608,12787,0,11.85,2.12,2.33,2.1,2.12,--  ,3.59,海南,10.85,2.29,1439088
000820,神雾节能,9.95,         12.48亿,3.19,12.69,固废治理,0,4.53,0.41,7829.02,7077.72,4.53,--  ,161882,136,0,5.63,4.12,4.53,4.12,4.12,--  ,1.27,江西,9.95,4.37,76415
000886,海南高速,10.05,         34.14亿,10.56,14.32,住宅开发,-0.47,4.71,0.43,3515.97,15501.35,4.71,--  ,336885,10936,0,3.45,4.26,4.71,4.24,4.28,74.88,3.37,海南,10.98,4.6,188474
000948,南天信息,9.97,         36.58亿,3.65,-1.07,行业应用软件,0.82,14.78,1.34,8052,12460.04,14.78,--  ,86714,999,0,2.25,13.55,14.78,13.37,13.44,83.19,1.39,云南,10.49,14.37,55292
000985,大庆华科,10.02,          8.62亿,11.1,13.45,合成树脂,-1.75,18.22,1.66,2776.36,25945.51,18.22,--  ,151828,5226,1.56,11.71,16.27,18.22,16.17,16.56,--  ,3.46,黑龙江,12.38,17.09,67129
001212,中旗新材,10.02,         13.97亿,11.4,23.14,其他建材,-0.79,29.11,2.65,8014.27,18202.15,29.11,--  ,65194,30,0,11.89,26.25,29.11,26.01,26.46,38.13,1,广东,11.72,27.92,30314
001379,腾达科技,10.02,         11.46亿,37.69,37.69,金属制品,-2.31,23.38,2.13,3022.33,61857.87,23.38,--  ,278974,236,0,56.94,20.76,23.38,20.42,21.25,46.95,1,山东,13.93,22.17,171263
002116,中国海诚,10.05,         23.47亿,15.24,13.9,其他专业工程,10.05,11.72,1.07,25380.36,5947.09,11.72,--  ,50743,257,0,1.22,11.72,11.72,11.72,10.65,20.76,0.68,上海,0,11.72,43752
002163,海南发展,10.06,         53.82亿,4.55,0,装修装饰,0.12,9.19,0.84,3871.93,14770.38,9.19,--  ,165425,394,0,2.06,8.36,9.19,8.26,8.35,39.56,2.19,深圳,11.14,8.93,100505
002320,海峡股份,9.93,         37.95亿,7.13,8.05,航运,-0.17,6.31,0.57,9367.45,21048.32,6.31,--  ,342185,2291,0,1.54,5.73,6.31,5.7,5.74,28.56,2.56,海南,10.63,6.15,169279
002377,国创高新,9.84,         17.69亿,3.47,5.51,其他建材,1.23,2.68,0.24,8739.13,10284.14,2.68,--  ,395159,3569,0,4.31,2.47,2.68,2.44,2.44,--  ,1.77,湖北,9.84,2.6,178807
002423,中粮资本,10.01,         60.14亿,29.16,27.03,金融控股,10.01,8.46,0.77,15725.79,57895.6,8.46,--  ,684512,4461,0,2.97,8.46,8.46,8.33,7.69,15.49,1.88,河南,1.69,8.46,587838
002528,英飞拓,10.06,         36.03亿,3.24,-8.72,安防设备,0,7.33,0.67,5372.82,21431.97,7.33,--  ,301025,1679,0,2.88,6.66,7.33,6.63,6.66,--  ,1.78,深圳,10.51,7.12,194056
002596,海南瑞泽,10.16,         20.69亿,2.17,-0.7,水泥制品,-0.39,2.82,0.26,8439.47,12598.67,2.82,--  ,456453,1783,0,4.33,2.55,2.82,2.55,2.56,--  ,3.29,海南,10.55,2.76,253502
002915,中欣氟材,10.02,         25.89亿,-0.66,-8.73,氟化工,-1.82,15.15,1.38,17215.25,36576.05,15.15,--  ,250047,363,0,8.69,13.52,15.15,13.52,13.77,--  ,0.6,浙江,11.84,14.63,115574
002919,名臣健康,10,         31.62亿,4.7,6.41,游戏,-0.04,26.06,2.37,4573.01,10385.14,26.06,--  ,41541,48,0,1.89,23.68,26.06,23.56,23.69,26.18,1.22,广东,10.55,25,19380
003003,天元股份,9.96,         10.45亿,-2.99,0.62,其他包装,0.77,11.37,1.03,6903.86,5952.71,11.37,--  ,54268,20,0,4.66,10.42,11.37,10.34,10.34,49.6,1.09,广东,9.96,10.97,28551
300374,中铁装配,20.03,         19.61亿,47.82,45.14,其他建材,15.74,17.62,2.94,8858.1,110712.09,17.62,--  ,648420,405,0,34.26,16.99,17.62,15.9,14.68,--  ,5.52,北京,11.72,17.07,342539
300899,上海凯鑫,19.99,         14.86亿,59.14,67.13,水治理,19.99,44.59,7.43,7920.52,32237.29,44.59,--  ,72410,140,0,17.69,44.59,44.59,43.46,37.16,279.17,0.99,上海,3.04,44.52,42941
300917,特发服务,20.01,         17.05亿,21.99,20.53,物业管理,0.95,30.29,5.05,2212.68,88489.5,30.29,--  ,301262,164,0,17.83,25.48,30.29,25.48,25.24,45.76,6.53,深圳,19.06,29.37,164005
301367,怡和嘉业,20,         29.25亿,2.25,-2.64,医疗设备,12.46,117.37,19.56,1546.94,25547.18,117.37,--  ,21883,16,0,5.39,110,117.37,110,97.81,20.83,6.22,北京,7.54,116.75,14398
600053,九鼎投资,9.99,         26.55亿,70.58,63.93,投资管理,4.85,23.13,2.1,9467.34,52026.92,23.13,--  ,227722,217,0,5.25,22.05,23.13,22,21.03,404.26,0.93,江西,5.37,22.85,121398
600088,中视传媒,10.02,         33.90亿,44.52,59.44,影视制作,10.02,19.77,1.8,63182.55,5978.27,19.77,--  ,30239,323,0,0.76,19.77,19.77,19.77,17.97,19.13,0.13,上海,0,19.77,27734
600119,长江投资,9.95,         17.71亿,32.2,31.42,跨境物流,9.95,8.95,0.81,44546.48,1960.23,8.95,--  ,21902,158,0,0.6,8.95,8.95,8.95,8.14,--  ,0.69,上海,0,8.95,18734
600171,上海贝岭,10.03,         76.44亿,11.47,3.58,集成电路设计,3.04,14.48,1.32,5307.79,61583.82,14.48,--  ,446676,1428,0,6.33,13.56,14.48,13.3,13.16,--  ,5.73,上海,8.97,13.79,221813
600238,海南椰岛,10.05,         36.48亿,3.71,-2.61,其他酒类,0.66,10.07,0.92,4776.5,10926.25,10.07,--  ,111625,644,0,2.51,9.21,10.07,9.16,9.15,--  ,2.21,海南,9.95,9.79,60144
600272,开开实业,10.02,         12.77亿,25.79,28.02,医药流通,10.02,14.39,1.31,6383.98,38136,14.39,--  ,270582,126,0,16.91,14.39,14.39,13.39,13.08,132.53,4.36,上海,7.65,14.09,148819
600303,ST曙光,4.92,         20.27亿,-3.03,-10.7,商用载客车,0,3.84,0.18,433.38,2496.46,3.84,--  ,66739,1,0,0.99,3.66,3.84,3.64,3.66,--  ,1.13,辽宁,5.46,3.74,33149
600622,光大嘉宝,9.96,         24.91亿,20.23,19.77,住宅开发,6.41,3.09,0.28,6208.89,27672.8,3.09,--  ,903511,1993,0,6.02,2.99,3.09,2.9,2.81,--  ,2.42,上海,6.76,3.06,457069
600629,华建集团,10.07,         29.45亿,29.64,26.89,工程咨询服务,10.07,6.56,0.6,18153.09,40151.53,6.56,--  ,613960,719,0,6.5,6.56,6.56,6.32,5.96,18.08,1.56,上海,4.03,6.54,488876
600636,国新文化,10.03,         27.68亿,11.13,8.1,教育培训,10.03,11.08,1.01,9494.78,5697.98,11.08,--  ,51426,68,0,1.17,11.08,11.08,11.08,10.07,62.95,0.38,上海,0,11.08,45159
600639,浦东金桥,10.04,         39.92亿,35.07,32.81,产业地产,10.04,13.48,1.23,44711.4,10700.41,13.48,--  ,79380,338,0,0.93,13.48,13.48,13.48,12.25,7,0.43,上海,0,13.48,61435
600647,*ST同达,5,         10.74亿,5,14.63,贸易,5,13.01,0.62,670.15,2382.34,13.01,--  ,18322,10,0,1.32,13.01,13.01,12.77,12.39,--  ,0.83,上海,1.94,13,14827
600648,外高桥,9.97,         41.85亿,29.16,27.07,产业地产,4.63,12.58,1.14,2801.19,73119.78,12.58,--  ,586043,319,0,6.27,11.97,12.58,11.92,11.44,17.27,4.04,上海,5.77,12.48,325621
600653,申华控股,10.29,         28.95亿,6.63,4.89,汽车经销商,0,1.93,0.18,3308.23,22877.71,1.93,--  ,1202888,1049,0,6.18,1.75,1.93,1.74,1.75,--  ,5.84,辽宁,10.86,1.9,662960
600657,信达地产,9.94,         30.56亿,13.71,10.25,住宅开发,0.55,3.98,0.36,1780.33,43418.35,3.98,--  ,1105885,780,0,3.88,3.64,3.98,3.64,3.62,32.92,4.55,北京,9.39,3.93,569260
600675,中华企业,9.92,         73.31亿,34.08,29.54,住宅开发,9.92,4.21,0.38,25319.74,47137.22,4.21,--  ,1119649,3952,0,1.84,4.21,4.21,4.21,3.83,24.64,4.58,上海,0,4.21,948787
600679,上海凤凰,9.98,         16.00亿,30.78,17.12,其他交通设备,9.98,12.45,1.13,24093.24,18480.33,12.45,--  ,148436,727,0,4.75,12.45,12.45,12.45,11.32,145.94,2.39,上海,0,12.45,134790
600708,光明地产,9.91,         27.59亿,19.72,17.51,住宅开发,3.45,2.55,0.23,15221.23,25188.85,2.55,--  ,1023916,1694,0,4.6,2.4,2.55,2.32,2.32,332.2,2.45,上海,9.91,2.46,464843
600822,上海物贸,9.97,         19.63亿,29.93,25.35,汽车经销商,9.97,12.46,1.13,22660,5884.37,12.46,--  ,47226,775,0,1.19,12.46,12.46,12.46,11.33,36,1.19,上海,0,12.46,40463
600830,香溢融通,10.02,         30.07亿,41.43,38.4,租赁,10.02,9.66,0.88,9780.85,50096.27,9.66,--  ,521754,293,0,11.48,9.66,9.66,9.28,8.78,139.17,1.1,浙江,4.33,9.6,311139
600836,上海易连,9.98,         25.42亿,24.88,33.42,印刷,9.76,5.07,0.46,7948.44,26455.44,5.07,--  ,522161,449,0,7.85,5.06,5.07,5.06,4.61,--  ,3.29,上海,0.22,5.07,344512
601068,中铝国际,10.04,         15.24亿,15.73,12.69,其他专业工程,10.04,5.15,0.47,12700.78,4550.36,5.15,--  ,88357,652,0,0.35,5.15,5.15,5.15,4.68,--  ,0.96,北京,0,5.15,75421
601665,齐鲁银行,10.05,        102.22亿,13.67,15.72,城商行,2.7,4.49,0.41,5344.36,65624.33,4.49,--  ,1473397,4767,0,6.02,4.19,4.49,4.16,4.08,5.4,3.87,山东,8.09,4.45,1107720
603069,海汽集团,10.01,         27.27亿,5.28,-4.43,公共交通,-0.12,18.14,1.65,2695.97,16710.26,18.14,--  ,94651,316,0,3,16.47,18.14,16.28,16.49,--  ,2.99,海南,11.28,17.65,48594
603232,格尔软件,9.97,         21.05亿,-1.23,-4.97,基础软件,7.22,12.8,1.16,2684.8,10753.93,12.8,--  ,84479,491,0,3.62,12.48,12.8,11.99,11.64,--  ,1.74,上海,6.96,12.73,71909
603329,上海雅仕,10.01,         16.61亿,16.83,19.4,供应链服务,-1.74,19.02,1.73,4592.38,44076.99,19.02,--  ,242522,2207,0,15.28,16.99,19.02,16.99,17.29,--  ,2.84,上海,11.74,18.17,115241
603648,畅联股份,10,         22.75亿,28.41,27.1,供应链服务,10,12.43,1.13,12511.42,3074.81,12.43,--  ,24737,200,0,0.68,12.43,12.43,12.43,11.3,28.11,0.35,上海,0,12.43,18942
603778,国晟科技,10.02,         21.55亿,-13.02,-16.03,园林工程,0.24,4.61,0.42,3032.69,11110.24,4.61,--  ,252356,272,0,3.93,4.2,4.61,4.17,4.19,123.86,1.21,北京,10.5,4.4,131156
603779,威龙股份,10,         18.22亿,4.99,-22.33,葡萄酒,4.88,9.46,0.86,6284.47,12329.57,9.46,--  ,132523,173,0,3.98,9.02,9.46,8.99,8.6,--  ,1.18,山东,5.47,9.3,76043
605286,同力日升,10.02,         11.80亿,-6.22,-20.16,楼宇设备,5.59,24.59,2.24,4474.4,6837.89,24.59,--  ,28218,106,0,5.88,23.6,24.59,23.3,22.35,22.51,0.79,江苏,5.77,24.23,16306
