代码,名称(30),涨幅%,流通市值Z,10日涨幅%,20日涨幅%,细分行业,开盘%,现价,涨跌,封单额,总金额,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘
600212,绿能慧充,10,         28.37亿,-10.73,-8.2,输变电设备,0.17,6.49,0.59,2322.9,14246.58,6.49,--  ,223994,496,0,4.38,5.91,6.49,5.83,5.9,136.07,1.85,山东,11.19,6.36,122870
601857,中国石油,0,        923.88亿,14.44,17.65,油气开采,-0.95,8.4,0,--  ,308252.88,8.4,8.41,3644251,71490,-0.11,0.23,8.32,8.65,8.3,8.4,8.76,0.98,北京,4.17,8.46,1742507
600675,中华企业,-9.94,         72.61亿,35.39,37.62,住宅开发,-7.13,4.17,-0.46,27718.07,104502.9,--  ,4.17,2479427,908,0,4.07,4.3,4.41,4.17,4.63,24.41,2.04,上海,5.18,4.21,684673
002423,中粮资本,5.16,         59.36亿,25.56,24.81,金融控股,-1.89,8.35,0.41,--  ,164039.85,8.35,8.36,1991767,19366,0,8.64,7.79,8.73,7.63,7.94,15.28,2.4,河南,13.85,8.24,947460
002789,建艺集团,10.03,          9.93亿,-0.44,-3.04,装修装饰,5.14,13.71,1.25,992.6,10999.37,13.71,--  ,80364,2634,0,6.23,13.1,13.71,13.1,12.46,56.87,2.78,深圳,4.9,13.69,69537
600771,广誉远,9.98,        101.78亿,-0.12,-10.28,中药,9.76,24.35,2.21,4635.51,39375.41,24.35,--  ,163230,1256,0,3.33,24.3,24.35,23.26,22.14,365.06,2.65,山西,4.92,24.12,86476
603778,国晟科技,10.12,         21.36亿,-10.04,-17.81,园林工程,-3.61,4.57,0.42,3400.35,16064.76,4.57,--  ,373753,1130,0,5.81,4,4.57,3.95,4.15,122.78,1.68,北京,14.94,4.3,190556
603529,爱玛科技,9.99,         60.56亿,6.7,8.06,摩托车,1.5,27.09,2.46,1460.69,28786.66,27.09,--  ,107306,319,0,4.8,25,27.09,25,24.63,11.24,2.69,天津,8.49,26.83,71867
600679,上海凤凰,-10,         15.84亿,33.44,21.72,其他交通设备,5.11,12.33,-1.37,--  ,110314.57,12.33,12.34,822527,5739,-0.47,26.3,14.4,15.07,12.33,13.7,144.53,5.31,上海,20,13.41,334186
002333,罗普斯金,10.03,         10.77亿,0.61,1.39,其他建材,0,6.58,0.6,6492.03,8330.29,6.58,--  ,128954,655,0,2.57,5.98,6.58,5.98,5.98,63.64,0.24,江苏,10.03,6.46,72275
603767,中马传动,10,         13.94亿,-0.08,-14.07,底盘与发动机系统,0.5,13.31,1.21,3654.39,16197.03,13.31,--  ,123137,920,0,3.99,12.16,13.31,11.92,12.1,46.62,2.51,浙江,11.49,13.15,86078
000017,深中华A,3.1,         31.11亿,63.81,193.23,钟表珠宝,0,12.99,0.39,--  ,151672.95,12.99,13,1183266,48012,0.31,39.05,12.6,13.18,12.22,12.6,1328.55,0.89,深圳,7.62,12.82,561272
603825,华扬联众,10.01,         15.33亿,1.76,-6.63,互联网广告,-0.9,10.99,1,1693.01,18461.68,10.99,--  ,173742,1206,0,6.86,9.9,10.99,9.75,9.99,--  ,2.15,湖南,12.41,10.63,107361
600864,哈投股份,7.35,         71.29亿,8.6,15.47,证券,-2.12,6.57,0.45,--  ,173108.33,6.56,6.57,2608368,20068,0.61,12.54,5.99,6.73,5.98,6.12,285.67,1.91,黑龙江,12.25,6.64,1288944
600354,敦煌种业,9.93,         23.64亿,3.05,-2.09,种子,0.9,6.09,0.55,3489.08,19514.39,6.09,--  ,326813,4374,0,6.19,5.59,6.09,5.52,5.54,--  ,4.17,甘肃,10.29,5.97,189871
603721,中广天择,9.98,         17.13亿,5.02,-2.57,影视制作,1.49,26.55,2.41,6299.25,26695.61,26.55,--  ,103756,465,0,7.98,24.5,26.55,23.73,24.14,--  ,0.9,湖南,11.68,25.73,58961
002173,创新医疗,10.07,         22.45亿,-1.2,-6.5,医院,10.07,8.2,0.75,9776.12,6242.17,8.2,--  ,76124,3225,0,1.8,8.2,8.2,8.2,7.45,--  ,0.67,浙江,0,8.2,67415
300750,宁德时代,-4.26,       3404.30亿,-10.32,-10.25,锂电池,-1.03,140.75,-6.27,--  ,468016.49,140.75,140.76,327274,4120,0.21,0.84,145.5,147.44,140.4,147.02,14.91,1.21,福建,4.79,143,166868
001376,百通能源,9.99,         10.40亿,8.82,-0.18,热力服务,-2.53,22.57,2.05,5311.85,30637.4,22.57,--  ,146730,655,0,31.84,20,22.57,19.25,20.52,77.62,3.88,江西,16.18,20.88,81933
000899,赣能股份,10.06,         22.30亿,3.41,0.13,火力发电,7.54,7.88,0.72,4371.35,18270.99,7.88,--  ,235104,1994,0,2.41,7.7,7.88,7.33,7.16,14.14,3.81,江西,7.68,7.77,140617
002703,浙江世宝,10.02,         32.43亿,-4.57,-5.3,底盘与发动机系统,5.36,12.52,1.14,5333.9,35801.21,12.52,--  ,292320,2313,0,5.29,11.99,12.52,11.7,11.38,182.06,1.95,浙江,7.21,12.25,149177
603259,药明康德,-4.23,       1136.55亿,-22.49,-19.36,医疗研发外包,-4.99,56.85,-2.51,--  ,499804.93,56.85,56.86,873965,10711,-0.11,3.41,56.4,58.6,56.18,59.36,15.59,2.11,江苏,4.08,57.19,423296
002523,天桥起重,10.13,         33.62亿,13.47,19.93,工程机械整机,0.33,3.37,0.31,1054.68,56604.46,3.37,--  ,1741605,16279,0,12.36,3.07,3.37,2.94,3.06,--  ,1.45,湖南,14.05,3.25,945348
600119,长江投资,10.05,         21.45亿,60.83,55.3,跨境物流,10.05,10.84,0.99,33664.27,22065.57,10.84,--  ,203557,59417,0,5.57,10.84,10.84,10.84,9.85,--  ,5.69,上海,0,10.84,159608
300799,*ST左江,--  ,         19.17亿,68.59,70.59,基础软件,--  ,53.02,--  ,--  ,0,,--  ,0,0,--  ,--  ,--  ,--  ,--  ,53.02,--  ,0,北京,0,53.02,0
600284,浦东建设,9.97,         45.84亿,19.81,18.48,基建工程,-4.4,7.5,0.68,5888.92,79419.5,7.5,--  ,1075592,11196,0,11.09,6.52,7.5,6.52,6.82,10.91,1.4,上海,14.37,7.38,739689
600629,华建集团,10,         29.14亿,30.58,25.53,工程咨询服务,-8.14,6.49,0.59,1025.61,137467.46,6.49,--  ,2271792,1212,0,24.05,5.42,6.49,5.31,5.9,17.89,2.76,上海,20,6.05,1266080
002116,中国海诚,10.01,         28.39亿,41.24,35.18,其他专业工程,2.64,14.18,1.29,7526.46,114696.76,14.18,--  ,829522,388,0,19.89,13.23,14.18,12.72,12.89,25.12,10.3,上海,11.33,13.83,424949
600088,中视传媒,10.02,         41.03亿,75.44,69.48,影视制作,8.51,23.93,2.18,15796.91,138139.44,23.93,--  ,582561,1605,0,14.65,23.6,23.93,23.02,21.75,23.16,4.25,上海,4.18,23.71,358211
000037,深南电A,9.96,         22.53亿,34.21,33.73,火力发电,4.69,11.26,1.02,13535.08,22472.4,11.26,--  ,202899,689,0,5.99,10.72,11.26,10.71,10.24,--  ,0.45,深圳,5.37,11.08,90506
数据来源:通达信,,,,,,,,,,,,,,,,,,,,,,,,,,,
