代码,名称(30),流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
600678,四川金顶,         19.42亿,10.06,19397.84,7,26391.17,162,81.35,7.36,0.64,水泥制造,7,--  ,384114,0,11.01,6.86,7,6.68,6.36,--  ,0.74,四川,5.03,6.87,163135,220979
600895,张江高科,        151.77亿,10.01,27071.96,19.9,103545,513,18.52,12.18,1.81,产业地产,19.9,--  ,531730,0,3.43,18.49,19.9,18.38,18.09,30.26,0.85,上海,8.4,19.47,270583,261146
002611,东方精工,         57.35亿,9.98,20902.78,7.27,176774.03,2104,83.59,48.37,0.66,印刷包装机械,7.27,--  ,2471291,0,24.33,7.15,7.27,6.9,6.61,24.88,8.76,广东,5.6,7.15,1324611,1146680
002049,紫光国微,        449.99亿,10,21411.14,71.59,423078.66,485,35.92,24.37,6.51,集成电路设计,71.59,--  ,600935,0,7.07,65,71.59,64.93,65.08,22.46,2.09,河北,10.23,70.4,342764,258171
000723,美锦能源,        165.86亿,9.94,12045.95,6.86,79537.49,2875,20.77,19.51,0.62,焦炭加工,6.86,--  ,1207165,0,3.02,6.18,6.86,6.18,6.24,54.82,2,山西,10.9,6.59,669070,538095
601127,赛力斯,        644.75亿,10,39193.44,91.93,917679.92,4117,35.43,48.23,8.36,综合乘用车,91.93,--  ,1034229,0,6.85,83.58,91.93,83.58,83.57,--  ,1.24,重庆,9.99,88.73,459485,574744
000938,紫光股份,        369.75亿,10,4529.17,22.1,485916.31,7727,37.27,28.19,2.01,其他IT设备,22.1,--  ,2243646,0,7.84,20.1,22.1,20.1,20.09,30.77,1.93,北京,9.96,21.66,972578,1271068
000063,中兴通讯,        916.13亿,9.06,--  ,29.86,1000256.2,49333,28.98,24.31,2.48,系统设备,29.85,29.86,3453449,-0.16,8.58,27.18,29.98,27.16,27.38,13.66,1.72,深圳,10.3,28.96,1480399,1973050
000628,高新发展,        121.90亿,10,5557.15,73.81,572123.9,586,107.62,61.79,6.71,房屋建设,73.81,--  ,799125,0,41.61,67.2,73.81,67.2,67.1,76.82,1.27,四川,9.85,71.59,427885,371240
603019,中科曙光,        576.41亿,4.52,--  ,49.71,1162674.07,28221,52.25,47.77,2.15,其他IT设备,49.71,49.72,2348190,0.67,16.14,48.56,51.36,47.8,47.56,72.73,1.74,天津,7.49,49.51,1112012,1236178
600860,京城股份,         22.86亿,10.01,7330.18,12.53,66294.22,37,62.73,11.18,1.14,金属制品,12.53,--  ,541756,0,12.65,11.75,12.53,11.38,11.39,--  ,2.73,北京,10.1,12.24,246391,295365
