代码,名称,流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
002211,宏达新材,         12.93亿,10.11,33357.03,4.79,566.42,11825,48.75,88.58,0.44,有机硅,4.79,--  ,11825,0,0.27,4.79,4.79,4.79,4.35,--  ,13.93,上海,0,4.79,5913,5912
600841,动力新科,         17.18亿,10.08,2235.17,5.24,1161.27,22162,28.12,40.86,0.48,底盘与发动机系统,5.24,--  ,22162,0,0.24,5.24,5.24,5.24,4.76,--  ,69.08,上海,0,5.24,11081,11081
000719,中原传媒,         36.23亿,10.05,29540.87,11.94,2109.16,17665,15.47,18.57,1.09,大众出版,11.94,--  ,17665,0,0.26,11.94,11.94,11.94,10.85,13.36,21.41,河南,0,11.94,8833,8832
000791,甘肃能源,         25.56亿,10.04,22463.47,5.7,287.34,5041,10.04,10.9,0.52,水力发电,5.7,--  ,5041,0,0.03,5.7,5.7,5.7,5.18,12.25,10.26,甘肃,0,5.7,2521,2520
603879,永悦科技,         19.17亿,10.04,142696.45,8.66,928.23,10719,106.68,135.33,0.79,合成树脂,8.66,--  ,10719,0,0.3,8.66,8.66,8.66,7.87,--  ,6.61,江苏,0,8.66,5360,5359
000710,贝瑞基因,         21.86亿,10.02,--  ,9.88,5272.26,53363,20.49,39.35,0.9,诊断服务,9.87,9.88,53363,0,1.75,9.88,9.88,9.88,8.98,--  ,107.65,四川,0,9.88,26682,26681
002347,泰尔股份,         21.57亿,10,19258.43,6.49,4204.29,64781,54.89,70.79,0.59,机械基础件,6.49,--  ,64781,0,1.31,6.49,6.49,6.49,5.9,--  ,31.79,安徽,0,6.49,32391,32390
603716,塞力医疗,         15.12亿,9.99,67625.93,9.69,479.65,4950,32.38,43.13,0.88,医药流通,9.69,--  ,4950,0,0.25,9.69,9.69,9.69,8.81,--  ,9.07,湖北,0,9.69,2475,2475
600580,卧龙电驱,        127.30亿,9.76,--  ,15.86,17998.24,113482,40.6,53.68,1.41,电机制造,15.85,15.86,113482,0,0.87,15.86,15.86,15.86,14.45,16.88,39.69,浙江,0,15.86,56741,56741
003004,声迅股份,          9.12亿,9.29,--  ,28.93,2363.58,8170,38.55,65.89,2.46,安防设备,28.91,28.93,8170,0,1.17,28.93,28.93,28.93,26.47,--  ,55.13,北京,0,28.93,4085,4085
001266,宏英智能,         10.93亿,9.04,--  ,31,1072.54,3460,24.25,22.67,2.57,工业控制设备,31,31.08,3460,0,0.98,31,31,31,28.43,258.15,22.46,上海,0,31,1730,1730
600843,上工申贝,         22.19亿,8.93,--  ,6.1,5178.05,84886,38.32,46.64,0.5,纺织服装设备,6.09,6.1,84886,0,1.81,6.1,6.1,6.1,5.6,34.92,35.18,上海,0,6.1,42443,42443
603095,越剑智能,         11.67亿,8.84,--  ,22.29,3160.94,14181,50.61,85.13,1.81,纺织服装设备,22.23,22.29,14181,0,0.77,22.29,22.29,22.29,20.48,45.66,62.59,浙江,0,22.29,7091,7090
600083,博信股份,         12.71亿,8.67,--  ,8.4,2237.76,26640,40.46,83.81,0.67,综合类,8.4,8.42,26640,0,1.17,8.4,8.4,8.4,7.73,--  ,59.07,江苏,0,8.4,13320,13320
