代码,名称,流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
000005,ST星源,          8.12亿,--  ,--  ,0.92,0,0,19.48,-12.38,--  ,水治理,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,0.92,--  ,0,深圳,0,0.92,0,0
000586,汇源通信,         12.50亿,--  ,--  ,10.73,0,0,56.64,5.61,--  ,光纤光缆,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,10.73,80.33,0,四川,0,10.73,0,0
000635,英 力 特,         11.85亿,--  ,--  ,8.02,0,0,39.48,-10.99,--  ,氯碱,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,8.02,--  ,0,宁夏,0,8.02,0,0
001225,和泰机电,          6.80亿,--  ,--  ,42.06,0,0,48.15,20.65,--  ,其他专用设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,42.06,23.89,0,浙江,0,42.06,0,0
002209,达 意 隆,         11.09亿,--  ,--  ,9.3,0,0,45.31,4.73,--  ,印刷包装机械,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,9.3,29.07,0,广东,0,9.3,0,0
002316,亚联发展,         14.32亿,--  ,--  ,4.92,0,0,65.1,8.37,--  ,其他金融服务,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,4.92,--  ,0,吉林,0,4.92,0,0
002317,众生药业,        103.87亿,--  ,--  ,16.08,0,0,41.05,19.47,--  ,中药,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,16.08,36.82,0,广东,0,16.08,0,0
002325,洪涛股份,         21.40亿,--  ,--  ,1.57,0,0,18.94,-9.25,--  ,装修装饰,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,1.57,--  ,0,深圳,0,1.57,0,0
002481,双塔食品,         31.41亿,--  ,--  ,4.6,0,0,26.72,16.46,--  ,其他农产品加工,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,4.6,--  ,0,山东,0,4.6,0,0
002611,东方精工,         52.14亿,--  ,--  ,6.61,0,0,63.61,33.54,--  ,印刷包装机械,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,6.61,22.62,0,广东,0,6.61,0,0
002713,东易日盛,         11.91亿,--  ,--  ,6.56,0,0,20.37,19.06,--  ,装修装饰,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,6.56,--  ,0,北京,0,6.56,0,0
002875,安奈儿,         13.85亿,--  ,--  ,13.2,0,0,50.34,11.49,--  ,非运动服装,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,13.2,--  ,0,深圳,0,13.2,0,0
002975,博杰股份,         16.66亿,--  ,--  ,37.15,0,0,79.9,19.41,--  ,工业控制设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,37.15,--  ,0,广东,0,37.15,0,0
300152,新动力,         16.22亿,--  ,--  ,2.74,0,0,55.68,8.73,--  ,环保设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,2.74,--  ,0,河北,0,2.74,0,0
300239,东宝生物,         24.50亿,--  ,--  ,6.01,0,0,49.13,14.26,--  ,其他生物制药,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,6.01,28.09,0,内蒙,0,6.01,0,0
300427,*ST红相,          8.48亿,--  ,--  ,4.42,0,0,43.97,-15.65,--  ,电网自动化,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,4.42,--  ,0,福建,0,4.42,0,0
301138,华研精机,         10.84亿,--  ,--  ,36.12,0,0,123.1,57.32,--  ,印刷包装机械,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,36.12,65,0,广东,0,36.12,0,0
600053,九鼎投资,         20.70亿,--  ,--  ,18.04,0,0,41.38,3.8,--  ,投资管理,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,18.04,315.3,0,江西,0,18.04,0,0
