SecurityId,SecurityName,Accounts,BuyPriceType,BuyPrice,BuyPriceFactor,BuyVolume,SellPriceType,SellPrice,SellPriceFactor,SellVolume,Tag_A,Tag_B
s-002611,东方精工,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002049,紫光国微,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000723,美锦能源,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000938,紫光股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000063,中兴通讯,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000628,高新发展,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002456,欧菲光,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002639,雪人股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300735,光弘科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000572,海马汽车,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002281,光迅科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000670,盈方微,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002400,省广集团,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000935,四川双马,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002338,奥普光电,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300260,新莱应材,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000801,四川九洲,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300228,富瑞特装,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000977,浪潮信息,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000550,江铃汽车,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000980,众泰汽车,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002085,万丰奥威,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002115,三维通信,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002180,纳思达,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002280,联络互动,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002387,维信诺,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002409,雅克科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300766,每日互动,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
