,SecurityId,SecurityName,Accounts,BuyPriceType,BuyPrice,BuyPriceFactor,BuyVolume,SellPriceType,SellPrice,SellPriceFactor,SellVolume,Tag_A,Tag_B
0,s-600212,绿能慧充,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
1,s-002789,建艺集团,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
2,s-603778,国晟科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
3,s-600679,上海凤凰,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
4,s-002333,罗普斯金,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
5,s-603767,中马传动,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
6,s-603825,华扬联众,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
7,s-600354,敦煌种业,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
8,s-603721,中广天择,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
9,s-002173,创新医疗,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
10,s-001376,百通能源,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
11,s-000899,赣能股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
12,s-002703,浙江世宝,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
13,s-002523,天桥起重,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
14,s-600119,长江投资,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
15,s-600629,华建集团,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
16,s-002116,中国海诚,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
17,s-000037,深南电A,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
18,s-605136,丽人丽妆,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
19,s-603666,亿嘉和,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
20,s-430198,微创光电,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
21,s-600551,时代出版,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
22,s-002552,宝鼎科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
23,s-605001,威奥股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
24,s-603897,长城科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
25,s-002663,普邦股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
26,s-301032,新柴股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
27,s-688246,嘉和美康,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
28,s-002481,双塔食品,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
29,s-300478,杭州高新,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
30,s-688155,先惠技术,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
31,s-300262,巴安水务,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
32,s-688257,新锐股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
33,s-000548,湖南投资,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
34,s-300513,恒实科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
35,s-300817,双飞集团,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
36,s-300946,恒而达,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
