SecurityId,SecurityName,Accounts,BuyPriceType,BuyPrice,BuyPriceFactor,BuyVolume,SellPriceType,SellPrice,SellPriceFactor,SellVolume,Tag_A,Tag_B
s-002789,建艺集团,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002333,罗普斯金,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002173,创新医疗,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-001376,百通能源,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000899,赣能股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002703,浙江世宝,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002523,天桥起重,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002116,中国海诚,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000037,深南电A,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002552,宝鼎科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002663,普邦股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-301032,新柴股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002481,双塔食品,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300478,杭州高新,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300262,巴安水务,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000548,湖南投资,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300513,恒实科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300817,双飞集团,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300946,恒而达,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-301309,万得凯,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-001256,炜冈科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300930,屹通新材,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300479,神思电子,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-301086,鸿富瀚,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300824,北鼎股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002780,三夫户外,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000599,青岛双星,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002891,中宠股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300250,初灵信息,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002207,准油股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300787,海能实业,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300314,戴维医疗,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002590,万安科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-000151,中成股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-301186,超达装备,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300771,智莱科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300659,中孚信息,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002630,华西能源,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002879,长缆科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300713,英可瑞,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-301192,泰祥股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-301133,金钟股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-002846,英联股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300991,创益通,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-300870,欧陆通,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
